text	sentiment
FUCK U apple i just dropped my new IPHONE6  and it got all sctratched up  IM DONE WITH APPLE SO FUCKING FRAGILE	-1
Will the IPhone6Plus Shortage Hurt Apple Apple This Christmas? Monday 8 December httptcoi1QB6uaRms	0
brittbumgarner briannalengy I mean it didnt auto correct so who is really at fault here apple	-1
AAPL buy reiterated  target raised to 130 by Bank of America Merrill Lynch AAPL Brief explanation here  httpstco349ckZlF0v AAPL	0
fuck type of shit is this Apple autocorrect Siri httptco5zyb6SUepz	-1
Left the hoos we 100 now got 50 iPhones are dire apple suck ur mum	-1
"brycehendersonn o wow technology stevejobs GamerGate  IGN  Machinima gameinformer Apple 64megaherts 
got me there"	0
5 Companies Growing Faster Than Apple Inc httptcoQsoC8dir60 AAPL	0
apple YosemiteProblems Erases my saved pass words every day This is getting annoying	-1
apple apple tech support is so nice Free stuff!! Sucks about the ringtone issue though	1
Apple Releases Safari 801 711 and 621 httptcosIOuKQbs1T AAPL	0
Early Apple Employee Bill Fernandez Shares Details on Steve Jobs Creation of the Apple II and More httptcohv7TfDUIm9 AAPL	0
"AAPL passes 700 billion in Market Cap and setting a new record details here
httptcoUCXw8zSRpZ AAPL Apple Stocks Record News"	0
Cant believe Apple said melted keys on Mac Pro is not under warranty for a machine less than a year old Asking for ?500 to repair	-1
fuck you apple	-1
I posted 9 photos on Facebook in the album WOW TALKS  PASSION FOR DESIGN  LONDON DESIGN FESTIVAL APPLE httptcovgRlX9OCMT	0
How To Use iOS8 Continuity  Know Your Mobile httptcoBf2smNeBEe aapl	0
SwiftKey Apple Oh In wish you guys would port hebrew from the android version already! I have swapping abck and forth	-1
"Apples iPhone 6 Plus Amazingly Captures 41 of the Phablet Market Right out of the Gate AAPL aapl
httptcohv7jiOO6S0"	1
AAPL providing another great entry point lt 115	1
lisapjackson any stats on use of Apples recycling program?	0
AAPLCorporate Earnings to Contract Short Apple Best of Kasshttptco59VMgqR0tH	0
ayo Apple I think u should create a video message option so when CarlaBarlaCakes doesnt answer my facetime I can leave her a VIDEO MAIL	0
The power of Apple s strong branding and store design in one photo httptcoCJObpVZeZk via qz httptcohD6P7hJhW8	0
Yo Apple fix your shitty iMessage	-1
Why I Hate Apple  httptcoIbpyJXaOuW AAPL LongTermLarry	-1
Hey apple are you even thinking about fixing your wifi issues? YosemiteProblems	-1
sharksbeauty Apple LEMME get the blondes number	0
AAPLApple Inc International Business Machines Corp Exxon Mobil Corporahttptco0XWPHhpA6C	0
3 Tech Stocks That Could Soar in 2015  The Motley Fool goog aapl fb httptco6LcuT1XTzX	0
Apple Debuts New iPad Air 2 TV Ad Change with New Website Section httptco8q8satHa2S AAPL	0
jakeflem Apple Some info for you httptcoJ79FnVB94e httptcom3pclPVgGK httptcoJ72WyhXxx1 Hope it helps PinkScreenOfDeath	0
"Apple mass transit system for Maps detailed in new patent AAPL aapl
httptcoYhwWoUBR3Q"	0
ohaiigloria hahahamark apple explain yourselves	-1
RT danielllebaker Paid 20 for a new 5 charger and couldnt  b more pissed about it this is rape apple	-1
The 10 biggest differences between Mac and PC  Yep Ill stick with my Mac! apple httptcoobykvsjfJY apple LisaEadicicco	1
Yall need to fix this flickerflash when I swipe up to close apps Apple	-1
PRINCIPLED TRUTHS Eddy Cue Talks to Fortune as Apple Appeals EBook PriceFixing Judgment AAPL httptcoY7JDYN0mlR	0
appleipad irig  For the price to connect my guitar I could buy a real amp loud enough to perform! ripoff	-1
steviebuckley Its doing strange things to dropbox files as well  create a new folder and it disappears etc  apple yosemite bugs	-1
AAPL12 Unexpected Stocks Bringing Buffett and Fellow Billionaires Holiday httptcoQSxQQPAg2q	0
HlPSTALUKE Apple one of you stepped on my phone last night and its smashed and doesnt work 	-1
Hey apple fuck you for thinking I want text messages to pop up on my computer iPad and phone ThisIsWhyPeopleGetMurdered	-1
Just another reason to hate Apple!!!!!!!!!!!	-1
"Steve Jobs I dont know what the claims in the case are AAPL aapl
httptco5Ufd8p9qxs"	0
OneRepublic Apple How cool that youre working on new music Cant wait to hear it But youre working hard You need rest 	1
Apple technologyis becoming very undesirable These glitches are constantly stopping my from working	-1
Apple dominates mobile online shopping at 78 percent in US aapl httptco1fqoPIhObO	1
applenws AppleProducts Apple ok look yall still aint reversed me back to iOS 7 idk what the hold up is but ima need yall to get on it	-1
Can Apple sTOP making their OS installations so damn bloody difficult STOP ASKING ME TO CLEAR SPACE FROM MY HARD DISK	-1
Jimmy Iovine to Apple You Have a Hole in Music Right Now Let Me Plug It httptcoRwolD40zwI AAPL	0
AntiDiscrimination Bill To Be Named After Apple CEO TimCook httptcoqEZlIPc8Z2 via theinquisitr LGBT LGBT Gayrights Alabama	0
RT all4incognito HATE APPLE SO MUCH RUIN MY LIFE	-1
"Debunking One of Apples Biggest Myths 

httptcoZljMUApQV6

AAPL"	0
RT animaItoes Why does my phone suck so much apple	-1
YO YOU AINT SHIT apple	-1
Apple Market Maker Price Range Forecast Update AAPL httptcolb0gspNI9j	0
Apple planning to spend 161 million on its own auditorium at   httptcoeJU1Q6Qklb AAPL WWDC httptcoQYhVucuSyP	0
Youll Be Able To Learn How To Code For Free Next Week At Your Nearest Apple Store!  httptco8xHh2SLC4X	0
What I find alarming about Apple power cords is how quickly they fray  I dont always notice when I dont travel with them AppleCordFire	-1
10 best SteveJobs apple aapl tech30 httptcoFkrkG1iF7g via	0
SamJam Agreedhave to give props to Apple for battery life on new iPhones Its SO good TLChat	1
apple I have been on hold for 30 minutes thank god I sold most of my stock is this comcast or apple?	-1
viticci panic Apple Jesus why did they create extensions at all? Lighten up Apple	-1
Apple Inc price at close December 05 2014 is 1149801 apple AAPL	0
CNBCTV  Bulls running with GoPro amp Apple gpro aapl  httptcozNj09hU6jb	0
Apple Is Warming Up To Social Media Apple is hiring a social media guru in LA Will Apple finally tweet?Her httptcosB1FXAZ4j7	0
Ironic that were at a PR event mp15 talking about companies that dont need more people talking about them google apple facebook	0
How many iphone chargers do I need to go through? Apple make charger durability a point in the new iPhone	-1
The rumoured oppo R8207 looks very similar to a certain Apple iPhone6 httptconJKstb1rJf	0
"Apple Watch on Track for February 2015 Release Testing Underway Rumour  AAPL aapl
httptcovjOWVvDFx5"	0
Howto import objectiveC code into bridging header file  Apigee SDK for Apples Swift httptcoe3i1kKa7xX httptcodkoOxiEGRy	0
thanks apple for making life complicated	-1
Bose products reportedly set to return to Apple Store shelves as early as next week  httptcofqnkD6rsDT AAPL JimmyIovine	0
AAPLAlabama AntiDiscrimination Bill To Be Named After Apple CEO Tim CookhttptcoJ6hGjmjBZD	0
"Apple to launch 4inch iPhone next year Report AAPL aapl
httptcox3lzm9bOoM"	0
My cat only chews apple cords Such an AppleSnob	0
Ur minute has been about 10 minutes apple httptcotInVuQNYAM	-1
How do I log into iCloud on my phone? Not the cut down mobile version Argh! Anyone know? apple	-1
fuck you fuck you so much i hate you apple	-1
leiahemilyy Apple really???	0
Move Aside Apple and Google Alibaba is Entering the Connected Car Space  Forbes baba goog aapl httptcogOSQlrWvtl	0
Footage of the Apple1 computer running ComputerHistory apple christiesinc httptconTGfnJWZ7G	0
Great service at Apple BethesdaRow thanks Jenna and Brandon!!!!!!!	1
apple please get yourself together! I need my products to work!	-1
apple so thanks for being greedy assholes who force me to pay to get something THAT I ALREADY FUCKING PAID FOR WITH FINAL CUT PRO	-1
Why AAPL Stock Had a MiniFlash Crash Today Money Morning Nothing the analysts suggested would make a widel httptcojFGsSy2Ei3	0
"kodam13 and blunderblock if fricking Apple ever gets their act together!!!!
AppStore we need Blunderblock by
BrandiGlanville"	-1
Steve Wozniak on Apple the Computer Revolution and Working With Steve Jobs httptco01201wlyzu via BW	0
Uh is Apple making fun of French people and being rude in their new iPhone 6 call from anywhere ad?! Thats how it seemed to me	-1
If Apple Will Poach From Fashion Then Fashion Will Follow Suit  The Business of Fashion  httptcoKVe1KXONfM	0
NickM538 Apple tell them how ya really feel	0
Oh Apple this is horrible packaging and shipping shame httptcoJaRpJYJ5Zu	-1
apple iCal AGAIN!!! it reset all my recurring in spite of months of individualizing each one per current date fail icloud sucking	-1
RT chemixcalbieber WhoaBiebz GET YOUR SHIT TOGETHER OR ILL GUY A SAMSUNG GALAXY S5 APPLE httptcoLEHpmkxK0a	-1
angusdick yes had that exact issue Took it to apple for a free battery replacement Trackpad ended up being fine	0
RedXPower ChristmasCount yeah and dont make them into tablets apple	0
MaineNitin Good morning! Looks like Ill be hanging at the Apple store with the students and snowbirds sometime this week	0
if I tweet about NANDOS my phone puts it in caps I like the iPhone six it knows my favourite restaurant good phone GG apple	1
WTF MY BATTERY WAS 31 ONE SECOND AGO AND NOW IS 29 WTF IS THIS apple	-1
CNBCTV  Apple arguably most innovative company in world Pro aapl httptcoxWVD3zCkHu	1
AAPLIs it time to start buying Apple?httptco5nulnjlbaG	0
CGK had laptop prob today  apple  Local  useless Tech support useless 1 hr at Genius Bar useless  Buy a PC next time?	-1
Please Apple dont go the way Facebook has gone with their iOS release notes  We DESERVE to know whats happening with our gear	-1
iTunes is pissing me tf off apple	-1
AAPL RT FortuneMagazine Alex Gauna flips his Apple bit sets Streethigh target of 150 httptcorsHjD9BrHp	0
FaZeNikan Apple lol iPhoneweak Get on that Lumia level bruh	-1
"iPhone 6 Plus Captures 41 Phablet Sales in the US AAPL aapl
httptcoafedrJ4EPr"	0
"Apple Wants To Make Your Commute Much Easier According To This New Patent AAPL aapl
httptcoFD6FCM2HQB"	0
feel so lost with out my phone   apple iPhone 5 chargers are horrendous! brokenchargerprobs	-1
Verr?cktes Ger?cht iPhone6s zum Apple Apple Watch Tuesday 2 December httptcoPGCaSLAnZa	0
AAPLApple Loop iPhone 6S Rumors The Myth Of Steve Jobs Garage iPhone 6httptcoGwQ3JqikZd	0
please make a gold macbook apple	0
apple why doesnt your people explain precautions when buying an expensive laptop	-1
"AppleDec 5 Trading Daily Profit 157sh  Weekly Profits of 1836sh  aapl Stockaction trading Stocks MKt  
httptco76R4rmUUNo"	0
Options Outlook Amid Heavy Week Of Economic Events httptcoJ7hj76F2sG AAPL GOOG GOOGL TSLA WMT PreMarket Markets	0
Apple is reportedly hiring fashionfocused staff for its physical stores httptcoZoOnR3u5zV FTDaily FashionTech	0
The Apple iWatch Changing the face of watches httptcoEtfTAT5K7x applenews iwatch gadgets	0
"Apple deleted rivals music from iPods court hears AAPL aapl
httptco7xYurDyY7R"	0
DustynMichael got enough apple  products? httptconts3ebIxAL	0
apple why cant i fnd netbot on app store !? help ASAP	-1
iTunes apple my music library wont sync new music etc iTunes tells me sync completed nothing new uploadedhow do I fix this? FRUSTRATING	-1
CharlesJMeyer Apple AppyGeek Hasnt Apple been doing this for decades? This is why I dont support Apple apple deletegame	-1
yo Apple  why yall make it so hard to grip the 6?	-1
Apple makes bad chargers The apple genius said wrap it in electrical tape I wonder what Jony Ive thinks of that httptcoHvxSJUt39p	-1
RT paisleysmithh Real tired of my charger breaking every month Apple	-1
my dad called now my musics arent playing jesus christ apple problematic	-1
Ok apple You win I wont use your browser anymore since it keeps closing on me Literally 8 times today I counted	-1
RT TeamCavuto Protesters stage DieIn protests in Apple store in NYC Is it me or is this anger misplaced? RETWEET if you agree	0
l0lvivivuvu sextsatan Apple And replied livingthedream ~ARI	0
apple why is it that your iPhones alarm fails to work sometimes?? I missed 3 bonus points from a class because of this Sooooo annoyed	-1
It would be nice if I could type more than one sentence without my computer freezing up Apple Microsoft Word Internet Everyone	-1
"As Apple still struggles to meet iPhone 6 demand Canaccord raises price target to 135  AAPL aapl
httptcoIrZI8Q8F9r"	0
"Apple 113 matches 8 increase in earnings 2014Q3 EPS142 in  IOS App Donkey Stocks on your iPhone AAPL
httpstco8CBUgrEHZS"	0
Apple Apple Patents An iPhone Drop Protection Mechanism That Changes Device  Tuesday 2 December httptcoWpnlcmBcSB	0
"Myths vs RealityFull Time Trading httptcoJH7BMS1Kgb stocks
futures forex trader es aapl gpro eSignal httptcobFnkHl3EYx"	0
you just did too much you asshole apple get your shit together	-1
RT ehsonakbary THE WORLDS FIRST MURDER VIA FACETIME THANK YOU FOR THIS INNOVATION Apple httptcoRz8es3q3fj	-1
"Whos Buying All Those New iPhones Anyway? AAPL aapl
httptcooErygGHnsc"	0
RT HorseshoeBmore Holiday Giveaway! To ensure you stay in touch on the go ck out brands like Apple amazon httptcov2GViV6qnh	0
Apple This was NORMAL use NO ABUSE! Wrapped it exactly as you instructed me to This is a fire hazard You should replace it defective	-1
RT RaviMikkelsen HRHound MandoGallegos Nice! If the actor had on an iWatch hed have the entire suite of Apple products sponsorDeal	0
That moment EVERYTIME when walk out of Apple after purchase amp receipt is emailed amp think getting stopped or not MiniHeartAttack timcook	0
Major crisis avoided apple You guys were able to restore my daughters  iPhone Great service thanks 5starservice	1
FUCK YOU apple FOR MAKING SHIT PRODUCTS	-1
Pop up BostonHoliday  UrbanNutcrackers RussellFerg amp krumpers are Apple Store in Boylston St 530pm today Dancing amp chat	0
apple had a dream last night where I downgraded my iPhone to a 4S and spent the rest of the dream trying to figure out what to do shame	-1
OneRepublic Apple HOW THEY LOOK THIS IS SO CUTE	1
I dont undestand how SYFNews CreditCare website doesnt work on Apple prodHad to request paper bills WhatYearIsIt poorcustomerservice	-1
Dear apple replace my phone my battery sucks	-1
"China reminds Apple on need to support privacy security in its products AAPL aapl
httptco5ABnwWVQxh"	0
Nale When do you think parable will be accessible in France Apple AppStore	0
Oh apple why do I have to delete my unwanted photos eight times Once is enough I dont want a recently deleted folder	-1
The 10 biggest differences between Mac and PC  Yep Ill stick with my Mac! apple httptcobxbjni5iHn apple LisaEadicicco	1
RT yungbaaz god dammit fuck you apple	-1
AAPL MT FortuneMagazine Can Apple clear name in ebooks drama? Eddy Cue says hed do it again but take better notes httptcoxCYyyJtK05	0
Apple fix addis phone so we can text each other pls and thx	-1
Companies i admire  3QDigital vaynermedia apple It must rocks to work there because mainly of their boss and their culture	1
Siri Apple SteveJobs alarmthatdidntgooff this is disrespectful	-1
RT Amdocs Top iOS apps of 2014 Apple names Elevate Brain Training as 1 iPhone app httptcotyRNmYGnDP	0
NO apple NO! When I make an I phone Album I WANT IT TO STAY ON PHONE not be removed when camera roll cleared GET IT TOGETHER!	-1
AppStore apple When is the release for the new infiniteflight update in the appstore? flyingdevstudio says the Update is in your hands	0
morrisjordan42 I would say it had a good life but fuck man little guy was only like 3 mths old fck u apple and ur piece of shit chargers	-1
"Pegraton may Gain Orders for 50 of the 2015 47 iPhone 6S AAPL aapl
httptcojjvkpoa01X"	0
Protesters in the Apple store pretty much sums it up Its like a gravitational pull Shocked it took this long Next stop? STARBUCKS!!	-1
At the Genius Barapple store  Very helpful AAPL staff and whoever helped me was genius Comp wking again httptcoGBPQdl8eCN	1
I hate my MacBook now Fuck this update and fuck you apple	-1
Apple conclusion  Best client service ever	1
jimmymujaj Apple it works again fucker not being a hoe if its only one person SMD	-1
My phone just charged 23 in 45 seconds thanks Apple	1
apple please stop notifying me to upgrade iCloud storage because I do not use iCloud enough to upgrade it nor would I pay for such things	-1
Apple recruiting luxury executives for iwatch Ill make it easy for them just get celebrities to wear them	0
contact Apple RT mrstiffanyanne anybody that sold an iPhone before? i have questions amp cant find them on Google!!!	0
hey apple my 5s keeps glitching 	-1
iPhone6 fell 2 ft Screen shattered like it was blown up apple wants an additional 109 to fix it Maybe make a product that lasts?	-1
RT HorseshoeBmore Holiday Giveaway! To ensure you stay in touch on the go ck out brands like Apple amazon httptcojMAL4mOWmz	0
Can I turn auto correct off apple ?	0
Apple Stores hosting Hour of Code programming workshops on December 11th  httptcolDmfG6nQES AAPL Tokyo	0
brooklyn is changing! apple store is heading to BK!	0
BloombergTV  Steve Wozniak on What Really Happened in Jobs Garage httptcoM5Pl6xLjuV via BloombergTV Apple aapl	0
 apple diag and support suck a lot! It says cannot connect server try again then ticket not found disgusting httptcoARyYbxOdox	-1
my phone keeps restarting on its own apple dont play me like that???	-1
Looking down on the crazy George Street Sydney in the rain from the Apple Genius Bar httptcofw8BCu1DOD httptcodlrmFkDKHh	0
Sony and Apple iTunesMusic  AppStore timcook need to combine their efforts and  make one solid system accessible from any device	0
"Is Apple Inc Losing the 5 Billion EdTech Market? AAPL aapl
httptcolOLDOTy7jt"	0
"httptcoD2TeKpbQyw
Apple Default search engine"	0
"Sales Of The iPhone 6 Plus Have Settled A LongRunning Argument About Apple And Smartphones AAPL aapl
httptco4oaDjSZwg9"	0
Love the Apple is supporting HourOfCode with workshops!  httptcoWP8D0FNjNu	1
Changing words that arent even misspelled like where do they REALLY do that at???? I would really like to know apple	-1
mkt Final AAPL PutCallRatios for Thursday December 4 2014  httptcopSiLO8mepA	0
daulfn AppleUK Apple Its what most of our devs do	0
OneRepublic Apple THIS IS SO BEAUTIFUL	1
Apple iCloud Family inapp purchase approvals broken since Friday? You might have some very unhappy moneylosing developers come Monday	-1
apple Excellent customer service thanks Ian applestorecoventgarden	1
sometimesboring also wtf apple i dont even live in kirkby	-1
"In firstever Apple Watch hackathon apps and challenges emerge AAPL aapl
httptcormYFzMIE5K"	0
Follow all developments in the AAPL DRM trial that is finally underway httpstcoW9mVJwhtNQ	0
that yosemite update is so annoying i regret installing it  apple sort out your shit bro	-1
RT WillliamLemar RT JustPoetic Why the fuck is there a recently deleted photo album? Apple	-1
We know that Apple have a strong supply chain but what is it that makes it that way? SupplyChain Operations httptcoPk95RjYhcV	0
Apple Inc and Facebook Clash Neither Is Wrong  The Motley Fool fb aapl httptcoAAy60rtQFC	0
Cheeky apple  Very cheeky No dice though You cant own App Store its a description not a product  httptco8L7VeRuzfs	-1
Got to hear about the new patent by apple  and thats a quite innovative idea apple  The mobile screen will never break in future	1
BloombergTV  Wozniak What Really Happened in SteveJobs Garage httptcodmNbZukzoz aapl	0
waiting a week for a DUNS number is preventing me from being able to build and release a clients iOS app apple why do you hate me so?	-1
RT hypebot Steve Jobs Deposition in iPod Lawsuit Could Cost Apple 1 Billion httptco7vDXwvxKpe MusicBiz MusicIndustry Apple	-1
Thought this just happened to me Why I HATE apple to this day httptco19G2JYZOGI via rollingstone	-1
apple is laughing its pants off with the school programs here in Australia They even manage to wringe money out of the poorest of people	-1
NYC EricGarner protesters stage Die In Apple store httptco5y1RRbx0SC LIVE RebelutionaryZ BlackLivesMatters ShutItDown	0
Foreign Currency Exchange May Be A Headwind For Apple AAPL httptcorMPiMkvLsH AAPL	0
In case of accident have you downloaded our free Apple app yet Winnipeg httptcoxFhk6vBQnl	0
timcook That rage when dealing Apple Geniuses when they maintain its not a known issue when a simple google search shows its a big 1	-1
CNBCTV  Citis Apple optimism aapl httptcoCGRe961fib	0
"Dan Nathan How To Profit From Apple Stock? 
AAPL aapl
httptcowkEoflid2Q"	0
Thank you Apple for fixing the Swift sourcekit crashes in XCode  Life is better now! httptcoNbRWTTcZ35	1
Fucking goddamn stupid apple iTunes  ur too fucked up! JustSayin iTunes	-1
Is it just me who feels Yosemite eats more battery amp Resource than Mavericks?  Apple are you reading this?	-1
whereiscooldude CyrusTVirus Apple wait no im okay here but yeah actually we should burn it down	-1
How many of apples top apps of 2014 do you have downloaded on your phone? httptcoBTOgs1cDGc	0
So cool! Apple stores will host free Hour of Code workshops on Dec 11 to promote computer science httptcoHrOHssVtK1 tech	1
apple why did you make it so difficult to get help with your products?  I just wasted 45 minutes of my life online and still am nowhere	-1
Currently on hold with Apple in Cupertino to try to set up a Genius Bar appointment in Madrid dontask	-1
CadeRageous Thx RT Apple Own 2600 digital languages IP  NEW internet Leader10 of cost of DIY googlenexus httptcosQv0FmaPGO	0
I dont know what youre trying to do apple but phone updates are turned off Thanks for letting me aware by error httptcoyMyoY61hz5	-1
YES  RT garrettwollman No Apple dont remind me tomorrow Just fing TELL ME what the updates you want to install actually ARE	-1
RT Sjado Listen2Lena 3x bonus airmiles Apple right now! airmilesshops	0
Apple now is your chance with Apple TV  Verizon FIOS is going downhill fast  They are now using crappy plastic STBs with no displays!	0
These Damn Apple Commercials Are Getting Worse and Worse	-1
apple MacMail on OS X Yosemite is really giving me a hard time Is there an alternative email program out there? YosemiteProblems	-1
apple should buy nintendo and sega Theyd get emulation characters game contentportfolios brand recognition and developer contacts	0
Yeeaaayyyawesome OS X Yosemite 10101 roccckkkssss m httpstcocK8wPnN91V satanoppa apple	1
Russia is selling its banned SteveJobs tribute statue  CultofMac httptcoRPsHWCAr3s Apple AAPL iPhone memorial bastards	0
Seems similar to Apple or Google doing a cloud backup of my pictures OnlineFootprint ModicumOfPrudence	0
Lol  RT MsBiAnCaBiSa MhDaDon Apple I havent decided yet I might get bourgeois about it	0
fucking apple are memer FAGGOTS httptcow8hbpxTRCJ	-1
And how about kids?  Do parents need to monitor the Apple power cords daily to make sure they are still safe?  AppleCordFire	-1
Will Apple Incs Profit Margin Continue Upward?  The Motley Fool aapl httptcooSlDAHbkJP	0
Hey apple let us get some Star Wars action on iTunes	0
"RT BGPublic Even MORE reason for Apple to stop using benzene in its manufacturing

httptcoNjdYqwfVAE"	-1
As a die hard Apple customer I must say I am truly displeased with the customer service I was given today badservice Apple	-1
nickruz4 Apple I cant I just got a new phone 	0
Thank you apple AppleSantaMonica for fixing my friends phone in less than 2 hours free of charge You guys are the best	1
Winter can be scary but you can stay safe Winnipeg with our free Apple app httptcowYJVGqW6qT	0
AAPL10 Steve Jobs emails you need to readhttptco82G1kL94tx	0
Imovie screws up my project yet again I really hate apple	-1
"Apple Pay And Services Lead To Price Target Upgrade For Apple Inc  AAPL aapl
httptcoOt41TSjQlG"	0
90 nd i aint even leave the house yet apple water u doin fam	-1
"Apple Facing A Challenge From Googles Android AAPL aapl
httptcompcU3cC4fM"	0
The rumoured oppo R8207 looks very similar to a certain Apple iPhone6 httptcoeSUoXuE4lr	0
OneRepublic Apple does pilot fly with us? 	0
DUNS4Apple sashametro Apple Your definition of easy is warped Thanks for the useless corporate speak	-1
Pacific Crests Apple Analyst Reiterates Selling Some Shares  Forbes aapl httptco4WRGdhxi0G	0
